host,icmp_ok,ssh_open,python_version
aaa-moniot-prd01,False,False,n/a
aaa-moniot-prd02,False,False,n/a
aaa-moniot-prd03,False,False,n/a
aaa-moniot-prd04,False,False,n/a
acervo-prd01,True,True,Python 2.7.5
acronisaeh.staging,False,False,n/a
acronis-isilon-stg01,False,False,n/a
acsdb-01,False,False,n/a
adm-ceph-prd01,False,False,n/a
afiliados-app-hml01,False,True,Python 2.7.5
afiliados-app-prd01,False,True,Python 2.7.5
aid-hos-10.planeta.net,False,False,n/a
aid-hos-11,True,True,Python 2.7.3
aid-hos-12,True,True,Python 2.7.3
aid-hos-21,True,True,Python 2.7.3
aid-hos-22,True,True,Python 2.7.3
aid-hos-23,True,True,Python 2.7.3
aid-hos-24,True,True,Python 2.7.5
aid-hos-25,False,False,n/a
airflow-hom01,False,False,n/a
Algar-BD,False,False,n/a
algarbff-hom-app01,True,True,Python 2.7.5
algarbff-hom-app02,True,True,Python 2.7.5
algarbff-prd-app01,True,True,Python 2.7.5
algarbff-prd-app02,True,True,Python 2.7.5
algarbff-prd-app03,True,True,Python 2.7.5
algar-bsc-hom01,True,True,Python 2.7.5
algarcatprodhmg01,True,True,Python 2.7.5
algarcatprodhmg02,True,True,Python 2.7.5
algarcatprodprd01,True,True,Python 2.7.5
algarcatprodprd02,True,True,Python 2.7.5
algarcatprodtit,True,True,Python 2.7.5
algar-contact-hom01.tenant0008,False,False,n/a
algar-contact-hom02,False,True,Python 2.7.5
algar-contact-prd01.tenant0008,False,False,n/a
algar-contact-prd02.tenant0008,False,False,n/a
algarcsmhmg-batch02,True,True,Python 2.7.5
algarcsmhmg-parc01,True,True,Python 2.7.5
algarcsmhmg-parc02,True,True,Python 2.7.5
algarcsmhmg-portal01,True,True,Python 2.7.5
algarcsmprd-batch01,True,True,Python 2.7.5
algarcsmprd-batch02,True,True,Python 2.7.5
algarcsmprd-parc01,True,True,Python 2.7.5
algarcsmprd-parc02,True,True,Python 2.7.5
algarcsmprd-portal01,True,True,Python 2.7.5
algarcsmtit,True,True,Python 2.7.5
algardeploy-prd01,True,True,Python 2.7.5
algargedhmg01,True,True,Python 2.7.5
algargedhmg02,True,True,Python 2.7.5
algargedhmg-rabbit01,True,True,Python 2.7.5
algargedhmg-rabbit02,True,True,Python 2.7.5
algargedhmg-service01,True,True,Python 2.7.5
algargedhmg-service02,True,True,Python 2.7.5
algargedprd01,True,True,Python 2.7.5
algargedprd02,True,True,Python 2.7.5
algargedprd-rabbit01,True,True,Python 2.7.5
algargedprd-rabbit02,True,True,Python 2.7.5
algargedprd-service01,True,True,Python 2.7.5
algargedprd-service02,True,True,Python 2.7.5
algargedtit_NEW,False,False,n/a
algarops-hom-app01,False,False,n/a
algar-sg-spo-3,True,True,Python 2.7.5
algar-sg-spo-4,True,True,Python 2.7.5
algar-sg-ula-7,True,True,Python 2.7.5
Algar-sipserver,False,False,n/a
algmcache01,True,True,Python 2.7.5
algmweb01,True,True,Python 2.7.5
algschx01,True,True,Python 2.7.5
am_hosts,True,True,Python 2.7.5
ams-nokia-prd01,True,True,Python 2.7.5
anrprd,True,True,Python 2.7.5
ansible-app-prd01,True,True,Python 2.7.5
ansible-portal-prd01,True,True,Python 2.7.5
antispam-db01,False,False,n/a
antispam-scan01,False,False,n/a
antispam-scan02,False,False,n/a
antispam-scan03,False,False,n/a
antispam-scan04,False,False,n/a
apcem-hml01,False,False,n/a
apcem-poc01,False,False,n/a
api-02-portal-hom-iot,False,True,Python 2.7.5
api-moniot-prd01,False,False,n/a
api-moniot-prd02,False,False,n/a
api-portal-hom-iot,False,True,Python 2.7.5
api-prd01-iot,False,False,n/a
api-prd02-iot,False,False,n/a
api-prd-jenkins01,False,False,n/a
api-protweb-prd01,False,False,n/a
apm-app-prd01,False,False,n/a
app01-portal-hml,True,True,Python 2.7.5
app01-portal-prd,True,True,Python 2.7.5
app02-portal-hml,True,True,Python 2.7.5
app02-portal-prd,True,True,Python 2.7.5
app-gravacao-01,False,False,n/a
app-gravacao-02,False,False,n/a
app-host-resilient-prd01,False,False,n/a
appmobileprd01_NEW,False,False,n/a
appmobileprd02_NEW,False,False,n/a
app-omni-h01,False,False,n/a
app-phone-prd01,False,False,n/a
app-phone-prd02,False,False,n/a
app-policy-prd01,True,True,Python 2.7.5
app-policy-prd01-238,False,False,n/a
app-policy-prd02,True,True,Python 2.7.5
app-policy-prd02-238,False,False,n/a
app-policy-prd03,True,True,Python 2.7.5
app-policy-prd03-238,False,False,n/a
app-portal-nominum-prd01,False,True,Python 2.7.5
app-portal-prd01,False,False,n/a
app-sq-phone-prd01,False,False,n/a
app-sq-phone-prd02,False,False,n/a
appstack-lgpd-prod01,False,False,n/a
aps.cloudalgartelecom.com.br,True,True,Python 2.7.5
aps.staging,False,False,n/a
apscloudplus.staging,False,False,n/a
aps-ico.staging,False,False,n/a
aps-ico-prd01,True,True,Python 2.7.5
apsmaxmonitor,False,False,n/a
apsmaxmonitor.staging,False,False,n/a
aps-multicloud-prd01,False,False,n/a
automacao-prd03,False,False,n/a
automacao-prod-01,True,True,Python 2.7.5
automacao-prod-01-fisico,False,False,n/a
b2c-dashboard01,False,False,n/a
b2c-elk01,True,True,Python 2.7.5
b2c-hom-indexer01,True,True,Python 2.7.5
b2c-hom-indexer02,True,True,Python 2.7.5
b2c-hom-maestro01,True,True,Python 2.7.5
b2c-hom-maestro02,True,True,Python 2.7.5
b2c-indexer01,False,False,n/a
b2c-indexer02,False,False,n/a
b2c-jenkins,True,True,Python 2.7.5
b2c-jenkins02_NEW,False,False,n/a
b2c-jenkins03,True,True,Python 2.7.5
b2c-prd-maestro01,True,True,Python 2.7.5
b2c-prd-maestro02,True,True,Python 2.7.5
b2c-prd-maestro03,True,True,Python 2.7.5
b2c-prd-maestro04,True,True,Python 2.7.5
b2c-prd-maestro05,True,True,Python 2.7.5
b2c-prd-maestro06,True,True,Python 2.7.5
b2c-tit-maestro01,True,True,Python 2.7.5
b2c-tst-maestro01,True,True,Python 2.7.5
backend-hom01,False,False,n/a
backend-prd01,True,True,Python 2.7.5
backend-prd02,True,True,Python 2.7.5
backend-sinfra-hml02,False,False,n/a
backend-sinfr-prd01,False,False,n/a
balancer-hom2-1.ocs,False,False,n/a
balancer-prd-1,False,False,n/a
balancer-prd-2.ocs.algartelecom.com.br,False,False,n/a
bandalarga-prd01,False,False,n/a
basedeconhecimento.network.ctbc,True,True,Python 2.7.5
bdahomapp01,True,True,Python 2.7.5
bdahomapp02,True,True,Python 2.7.5
bdaprdapp01,True,True,Python 2.7.5
bdaprdapp02,True,True,Python 2.7.5
bd-conf-phone-hml01,False,False,n/a
bd-conf-phone-prd01,False,False,n/a
bd-conf-phone-prd02,False,False,n/a
bd-gerar-mysql-prd01,True,True,Python 2.7.5
bd-log-phone-prd01,False,False,n/a
bd-log-phone-prd02,False,False,n/a
bd-sip-phone-prd01,False,False,n/a
beatch-moniot-p1,False,False,n/a
beatch-moniot-p2,False,False,n/a
bedigpx01,True,True,Python 2.7.5
bilprdapp1,True,True,Python 2.7.5
bilprdapp2,True,True,Python 2.7.5
bkprd01,True,True,Python 2.7.5
bkprd02-ptguru2px01,False,False,n/a
blazon-acess-hml01,True,True,Python 2.7.5
blazon-activemq-prd01,True,True,Python 2.7.5
blazon-adapter-prd01,True,True,Python 2.7.5
blazon-adapter-prd02,True,True,Python 2.7.5
blazon-adm-console-prd01,True,True,Python 2.7.5
blazon-adm-console-prd02,True,True,Python 2.7.5
blazon-api-prd01,True,True,Python 2.7.5
blazon-api-prd02,True,True,Python 2.7.5
blazon-core-hml01,True,True,Python 2.7.5
blazon-core-prd01,True,True,Python 2.7.5
blazon-core-prd02,True,True,Python 2.7.5
blazon-elastic-hml01,True,True,Python 2.7.5
blazon-elastic-prd01,True,True,Python 2.7.5
blazon-job-prd01,True,True,Python 2.7.5
blazon-resetpwd-prd01,True,True,Python 2.7.5
blazon-resetpwd-prd02,True,True,Python 2.7.5
blazon-res-hml01,True,True,Python 2.7.5
blazon-sql-hml01,True,True,Python 2.7.5
blazon-sql-prd01,True,True,Python 2.7.5
blazon-sql-prd02,True,True,Python 2.7.5
blazon-work-hml01,True,True,Python 2.7.5
blazon-workspace-prd01,True,True,Python 2.7.5
blazon-workspace-prd02,True,True,Python 2.7.5
blueplanetpx01,False,False,n/a
blueplanetpx02,False,False,n/a
bmp-hom2-1,False,False,n/a
bmp-hom2-2,False,False,n/a
bmp-prd-1,True,True,Python 2.7.5
bmp-prd-10,True,True,Python 2.7.5
bmp-prd-2,True,True,Python 2.7.5
bmp-prd-3,True,True,Python 2.7.5
bmp-prd-4,True,True,Python 2.7.5
bmp-prd-5,True,True,Python 2.7.5
bmp-prd-6,True,True,Python 2.7.5
bmp-prd-7,True,True,Python 2.7.5
bmp-prd-8,True,True,Python 2.7.5
bmp-prd-9,True,True,Python 2.7.5
bmpweb_prd01,False,False,n/a
bmpweb_prd02,False,False,n/a
bpmapp-prd01,False,False,n/a
bpmapp-prd02,False,False,n/a
bpmapp-stg01,False,False,n/a
bpmapp-stg02,False,False,n/a
bpmdb-prd01,False,False,n/a
bpmdb-prd02,False,False,n/a
bpmdb-stg01,False,False,n/a
bpmdb-stg02,False,False,n/a
bpmweb-prd01.cloudalgartelecom.com.br,False,False,n/a
bpmweb-prd02.cloudalgartelecom.com.br,False,False,n/a
broker-hom2-1,False,False,n/a
broker-hom2-2,False,False,n/a
broker-hom2-3,False,False,n/a
broker-hom2-4,False,False,n/a
broker-hom2-5,False,False,n/a
broker-ocs-p01,False,False,n/a
broker-ocs-p02,False,False,n/a
broker-ocs-p03,False,False,n/a
broker-ocs-p04,False,False,n/a
broker-ocs-p05,False,False,n/a
broker-prd-1,True,True,Python 2.7.5
broker-prd-2,False,False,n/a
broker-prd-3,False,False,n/a
broker-prd-4,True,True,Python 2.7.5
broker-prd-5,False,False,n/a
cacheapp01,True,True,Python 2.7.5
cac-hml02,False,False,n/a
cac-hml03,False,False,n/a
cacti-capacidade-new-seta,False,False,n/a
cacti-prd-corp01,False,False,n/a
cadastro-app-prd01,True,True,Python 2.7.5
cadastro-cloud-apps-prd01,True,True,Python 2.7.5
cadastro-posi-hml01,False,False,n/a
CALIX-PRD01,True,True,Python 2.7.5
capacidade-prd01,False,False,n/a
cap-hos-17,False,False,n/a
catprod-hml-matrix01,False,False,n/a
cbp-hom2-1,False,False,n/a
cbp-hom2-2,False,False,n/a
cbp-ocs-p01,False,False,n/a
cbp-ocs-p02,False,False,n/a
cbp-prd-1,True,True,Python 2.7.5
cbp-prd-10,True,True,Python 2.7.5
cbp-prd-11,True,True,Python 2.7.5
cbp-prd-12,True,True,Python 2.7.5
cbp-prd-13,True,True,Python 2.7.5
cbp-prd-14,True,True,Python 2.7.5
cbp-prd-15,True,True,Python 2.7.5
cbp-prd-16,True,True,Python 2.7.5
cbp-prd-2,True,True,Python 2.7.5
cbp-prd-3,True,True,Python 2.7.5
cbp-prd-4,True,True,Python 2.7.5
cbp-prd-5,True,True,Python 2.7.5
cbp-prd-6,True,True,Python 2.7.5
cbp-prd-7,True,True,Python 2.7.5
cbp-prd-8,True,True,Python 2.7.5
cbp-prd-9,True,True,Python 2.7.5
CCE-ELASTIC-SEARCH-PRD01,True,True,Python 2.7.5
CCE-ELASTIC-SEARCH-PRD02,True,True,Python 2.7.5
cce-gis-prd01,True,True,Python 2.7.5
cce-gis-prd02,True,True,Python 2.7.5
cce-service-hom01,False,True,Python 2.7.5
cce-service-hom02,False,True,Python 2.7.5
cce-service-prd03,True,True,Python 2.7.5
cce-service-prd04,True,True,Python 2.7.5
cce-view-hom01,True,True,Python 2.7.5
