host,icmp_ok,ssh_open,python_version,status
aaa-moniot-prd01,False,False,n/a,dead
aaa-moniot-prd02,False,False,n/a,dead
aaa-moniot-prd03,False,False,n/a,dead
aaa-moniot-prd04,False,False,n/a,dead
acervo-prd01,True,True,Python 2.7.5,full_ok
acronisaeh.staging,False,False,n/a,dead
acronis-isilon-stg01,False,False,n/a,dead
acsdb-01,False,False,n/a,dead
adm-ceph-prd01,False,False,n/a,dead
afiliados-app-hml01,False,True,Python 2.7.5,ssh_only
afiliados-app-prd01,False,True,Python 2.7.5,ssh_only
aid-hos-10.planeta.net,False,False,n/a,dead
aid-hos-11,True,True,Python 2.7.3,full_ok
aid-hos-12,True,True,Python 2.7.3,full_ok
aid-hos-21,True,True,Python 2.7.3,full_ok
aid-hos-22,True,True,Python 2.7.3,full_ok
aid-hos-23,True,True,Python 2.7.3,full_ok
aid-hos-24,True,True,Python 2.7.5,full_ok
aid-hos-25,False,False,n/a,dead
airflow-hom01,False,False,n/a,dead
Algar-BD,False,False,n/a,dead
algarbff-hom-app01,True,True,Python 2.7.5,full_ok
algarbff-hom-app02,True,True,Python 2.7.5,full_ok
algarbff-prd-app01,True,True,Python 2.7.5,full_ok
algarbff-prd-app02,True,True,Python 2.7.5,full_ok
algarbff-prd-app03,True,True,Python 2.7.5,full_ok
algar-bsc-hom01,True,True,Python 2.7.5,full_ok
algarcatprodhmg01,True,True,Python 2.7.5,full_ok
algarcatprodhmg02,True,True,Python 2.7.5,full_ok
algarcatprodprd01,True,True,Python 2.7.5,full_ok
algarcatprodprd02,True,True,Python 2.7.5,full_ok
algarcatprodtit,True,True,Python 2.7.5,full_ok
algar-contact-hom01.tenant0008,False,False,n/a,dead
algar-contact-hom02,False,True,Python 2.7.5,ssh_only
algar-contact-prd01.tenant0008,False,False,n/a,dead
algar-contact-prd02.tenant0008,False,False,n/a,dead
algarcsmhmg-batch02,True,True,Python 2.7.5,full_ok
algarcsmhmg-parc01,True,True,Python 2.7.5,full_ok
algarcsmhmg-parc02,True,True,Python 2.7.5,full_ok
algarcsmhmg-portal01,True,True,Python 2.7.5,full_ok
algarcsmprd-batch01,True,True,Python 2.7.5,full_ok
algarcsmprd-batch02,True,True,Python 2.7.5,full_ok
algarcsmprd-parc01,True,True,Python 2.7.5,full_ok
algarcsmprd-parc02,True,True,Python 2.7.5,full_ok
algarcsmprd-portal01,True,True,Python 2.7.5,full_ok
algarcsmtit,True,True,Python 2.7.5,full_ok
algardeploy-prd01,True,True,Python 2.7.5,full_ok
algargedhmg01,True,True,Python 2.7.5,full_ok
algargedhmg02,True,True,Python 2.7.5,full_ok
algargedhmg-rabbit01,True,True,Python 2.7.5,full_ok
algargedhmg-rabbit02,True,True,Python 2.7.5,full_ok
algargedhmg-service01,True,True,Python 2.7.5,full_ok
algargedhmg-service02,True,True,Python 2.7.5,full_ok
algargedprd01,True,True,Python 2.7.5,full_ok
algargedprd02,True,True,Python 2.7.5,full_ok
algargedprd-rabbit01,True,True,Python 2.7.5,full_ok
algargedprd-rabbit02,True,True,Python 2.7.5,full_ok
algargedprd-service01,True,True,Python 2.7.5,full_ok
algargedprd-service02,True,True,Python 2.7.5,full_ok
algargedtit_NEW,False,False,n/a,dead
algarops-hom-app01,False,False,n/a,dead
algar-sg-spo-3,True,True,Python 2.7.5,full_ok
algar-sg-spo-4,True,True,Python 2.7.5,full_ok
algar-sg-ula-7,True,True,Python 2.7.5,full_ok
Algar-sipserver,False,False,n/a,dead
algmcache01,True,True,Python 2.7.5,full_ok
algmweb01,True,True,Python 2.7.5,full_ok
algschx01,True,True,Python 2.7.5,full_ok
am_hosts,True,True,Python 2.7.5,full_ok
ams-nokia-prd01,True,True,Python 2.7.5,full_ok
anrprd,True,True,Python 2.7.5,full_ok
ansible-app-prd01,True,True,Python 2.7.5,full_ok
ansible-portal-prd01,True,True,Python 2.7.5,full_ok
antispam-db01,False,False,n/a,dead
antispam-scan01,False,False,n/a,dead
antispam-scan02,False,False,n/a,dead
antispam-scan03,False,False,n/a,dead
antispam-scan04,False,False,n/a,dead
apcem-hml01,False,False,n/a,dead
apcem-poc01,False,False,n/a,dead
api-02-portal-hom-iot,False,True,Python 2.7.5,ssh_only
api-moniot-prd01,False,False,n/a,dead
api-moniot-prd02,False,False,n/a,dead
api-portal-hom-iot,False,True,Python 2.7.5,ssh_only
api-prd01-iot,False,False,n/a,dead
api-prd02-iot,False,False,n/a,dead
api-prd-jenkins01,False,False,n/a,dead
api-protweb-prd01,False,False,n/a,dead
apm-app-prd01,False,False,n/a,dead
app01-portal-hml,True,True,Python 2.7.5,full_ok
app01-portal-prd,True,True,Python 2.7.5,full_ok
app02-portal-hml,True,True,Python 2.7.5,full_ok
app02-portal-prd,True,True,Python 2.7.5,full_ok
app-gravacao-01,False,False,n/a,dead
app-gravacao-02,False,False,n/a,dead
app-host-resilient-prd01,False,False,n/a,dead
appmobileprd01_NEW,False,False,n/a,dead
appmobileprd02_NEW,False,False,n/a,dead
app-omni-h01,False,False,n/a,dead
app-phone-prd01,False,False,n/a,dead
app-phone-prd02,False,False,n/a,dead
app-policy-prd01,True,True,Python 2.7.5,full_ok
app-policy-prd01-238,False,False,n/a,dead
app-policy-prd02,True,True,Python 2.7.5,full_ok
app-policy-prd02-238,False,False,n/a,dead
app-policy-prd03,True,True,Python 2.7.5,full_ok
app-policy-prd03-238,False,False,n/a,dead
app-portal-nominum-prd01,False,True,Python 2.7.5,ssh_only
app-portal-prd01,False,False,n/a,dead
app-sq-phone-prd01,False,False,n/a,dead
