host,motivo
aaa-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
aaa-moniot-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
aaa-moniot-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
aaa-moniot-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
acronisaeh.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
acronis-isilon-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
acsdb-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
adm-ceph-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
afiliados-app-hml01 ,ICMP bloqueado (sem ping)
afiliados-app-prd01 ,ICMP bloqueado (sem ping)
aid-hos-10.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
aid-hos-25 ,Sem ICMP e SSH (possível offline/rota/firewall)
airflow-hom01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Algar-BD ,Sem ICMP e SSH (possível offline/rota/firewall)
algar-contact-hom01.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
algar-contact-hom02 ,ICMP bloqueado (sem ping)
algar-contact-prd01.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
algar-contact-prd02.tenant0008 ,Sem ICMP e SSH (possível offline/rota/firewall)
algargedtit_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
algarops-hom-app01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Algar-sipserver ,Sem ICMP e SSH (possível offline/rota/firewall)
antispam-db01 ,Sem ICMP e SSH (possível offline/rota/firewall)
antispam-scan01 ,Sem ICMP e SSH (possível offline/rota/firewall)
antispam-scan02 ,Sem ICMP e SSH (possível offline/rota/firewall)
antispam-scan03 ,Sem ICMP e SSH (possível offline/rota/firewall)
antispam-scan04 ,Sem ICMP e SSH (possível offline/rota/firewall)
apcem-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
apcem-poc01 ,Sem ICMP e SSH (possível offline/rota/firewall)
api-02-portal-hom-iot ,ICMP bloqueado (sem ping)
api-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
api-moniot-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
api-portal-hom-iot ,ICMP bloqueado (sem ping)
api-prd01-iot ,Sem ICMP e SSH (possível offline/rota/firewall)
