hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
ns1.cloudalgartelecom.com.br,10.0.10.102,failed,0,2025-09-09 23:38:09,Timeout na conexão,Verificar latência e ACLs,timeout
pprox-prd01,10.0.10.104,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
vm-cacti-capacidade3,10.11.0.100,connected,228,2025-09-10 14:53:09,Conectividade OK via bastion,,
capacidade-prd01,10.11.0.101,connected,157,2025-09-10 17:06:09,Conectividade OK via bastion,,
gifeprd01_NEW,10.11.128.234,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
srvphpdes01_NEW,10.11.135.109,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
cdsprd01,10.11.135.175,connected,75,2025-09-10 09:23:09,Conectividade OK via bastion,,
dbatools-app01,10.11.136.109,connected,359,2025-09-10 18:48:09,Conectividade OK via bastion,,
cac-hml03,10.11.136.14,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
guardians-db-prd01,10.11.136.186,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
ftp-internal01,10.11.136.238,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
cacti-prd-corp01,10.11.136.40,failed,0,2025-09-10 11:39:09,Falha desconhecida,Executar diagnóstico manual,unknown
wikipx01,10.11.137.220,connected,59,2025-09-10 17:38:09,Conectividade OK via bastion,,
portal-ponderacoes-b2b-prd01,10.11.137.221,connected,95,2025-09-10 08:53:09,Conectividade OK via bastion,,
toolstelecom-cel-prd08,10.11.137.223,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
zabbxhx01,10.11.148.151,connected,62,2025-09-10 10:43:09,Conectividade OK via bastion,,
ptloghx01,10.11.148.204,connected,170,2025-09-10 11:13:09,Conectividade OK via bastion,,
ptlogpx01,10.11.148.205,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
algar-bsc-hom01,10.11.152.151,failed,0,2025-09-10 01:52:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
jbosseap04hom_NEW,10.11.152.79,connected,267,2025-09-10 18:44:09,Conectividade OK via bastion,,
VM-SRVTEL-AV02,10.12.0.3,connected,291,2025-09-10 18:18:09,Conectividade OK via bastion,,
sgp01,10.32.10.52,connected,315,2025-09-10 11:27:09,Conectividade OK via bastion,,
sgp02,10.32.10.53,connected,392,2025-09-10 12:17:09,Conectividade OK via bastion,,
app-host-resilient-prd01,10.32.10.77,connected,128,2025-09-10 18:54:09,Conectividade OK via bastion,,
kenanfx-01,10.32.14.174,connected,91,2025-09-10 17:12:09,Conectividade OK via bastion,,
xdsl2-des,10.32.14.70,connected,334,2025-09-10 14:35:09,Conectividade OK via bastion,,
guardians-app-hom01,10.32.15.11,connected,118,2025-09-10 11:18:09,Conectividade OK via bastion,,
guardians-db-hom01,10.32.15.12,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
jbossas01,10.32.15.121,connected,295,2025-09-10 09:50:09,Conectividade OK via bastion,,
guardians-adm-hom01,10.32.15.13,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
sunlight1,10.32.9.253,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
TNMSPX02,10.5.100.14,failed,0,2025-09-10 10:58:09,Falha desconhecida,Executar diagnóstico manual,unknown
ecomm03_NEW,10.50.17.29,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
gedwebdavhmg01,10.51.10.139,connected,269,2025-09-10 17:50:09,Conectividade OK via bastion,,
gedwebdavhmg02,10.51.10.140,connected,182,2025-09-10 09:49:09,Conectividade OK via bastion,,
algarcatprodtit,10.51.10.141,connected,181,2025-09-10 14:12:09,Conectividade OK via bastion,,
algarcatprodhmg01,10.51.10.142,connected,226,2025-09-10 15:33:09,Conectividade OK via bastion,,
algarcatprodhmg02,10.51.10.143,connected,259,2025-09-10 12:23:09,Conectividade OK via bastion,,
algargedtit_NEW,10.51.10.145,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
algargedhmg01,10.51.10.146,failed,0,2025-09-10 18:56:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
algargedhmg02,10.51.10.147,connected,333,2025-09-10 14:16:09,Conectividade OK via bastion,,
algargedhmg-rabbit01,10.51.10.150,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
algargedhmg-rabbit02,10.51.10.151,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
algarcatprodprd01,10.51.10.173,connected,317,2025-09-10 14:45:09,Conectividade OK via bastion,,
algarcatprodprd02,10.51.10.174,failed,0,2025-09-09 22:25:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
algargedprd-service01,10.51.10.177,connected,321,2025-09-10 16:23:09,Conectividade OK via bastion,,
webhom02,10.51.10.41,connected,354,2025-09-10 08:16:09,Conectividade OK via bastion,,
bkprd02-ptguru2px01,10.51.10.52,connected,216,2025-09-10 12:40:09,Conectividade OK via bastion,,
grv-prd-app01,10.51.10.61,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
portalctbc05,10.51.10.67,connected,360,2025-09-10 07:41:09,Conectividade OK via bastion,,
portalctbc06,10.51.10.68,connected,56,2025-09-10 19:03:09,Conectividade OK via bastion,,
lxjbossprd01,10.51.10.70,connected,258,2025-09-10 07:55:09,Conectividade OK via bastion,,
grv-prd-bd01,10.51.10.74,connected,270,2025-09-10 17:26:09,Conectividade OK via bastion,,
crm-prd-visao01,10.51.10.75,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
crm-prd-visao02,10.51.10.76,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
crm-prd-visao03,10.51.10.79,connected,221,2025-09-10 15:25:09,Conectividade OK via bastion,,
crm-prd-visao04,10.51.10.80,connected,130,2025-09-10 13:27:09,Conectividade OK via bastion,,
algarbff-prd-app01,10.51.104.162,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
algarbff-prd-app02,10.51.104.163,connected,75,2025-09-10 08:10:09,Conectividade OK via bastion,,
algarbff-prd-app03,10.51.104.164,connected,139,2025-09-10 17:43:09,Conectividade OK via bastion,,
algarbff-hom-app01,10.51.104.178,connected,232,2025-09-10 15:01:09,Conectividade OK via bastion,,
algarbff-hom-app02,10.51.104.179,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
ctbcapp01,10.51.11.20,connected,115,2025-09-10 13:57:09,Conectividade OK via bastion,,
ctbcapp02,10.51.11.21,failed,0,2025-09-09 22:41:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
frontend-sinfra-prd02,10.51.12.194,failed,0,2025-09-09 22:51:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
backend-sinfr-prd01,10.51.12.195,connected,76,2025-09-10 08:40:09,Conectividade OK via bastion,,
backend-sinfra-hml02,10.51.12.202,failed,0,2025-09-10 09:54:09,Falha desconhecida,Executar diagnóstico manual,unknown
frontend-sinfra-hml01,10.51.12.203,connected,224,2025-09-10 14:54:09,Conectividade OK via bastion,,
follow-tech-prd01,10.51.12.40,connected,308,2025-09-10 18:17:09,Conectividade OK via bastion,,
cloud-mediacao,10.51.123.200,connected,105,2025-09-10 14:26:09,Conectividade OK via bastion,,
algar-contact-hom01.tenant0008,10.51.124.130,connected,273,2025-09-10 12:28:09,Conectividade OK via bastion,,
algar-contact-hom02,10.51.124.131,connected,196,2025-09-10 12:18:09,Conectividade OK via bastion,,
algar-contact-prd01.tenant0008,10.51.124.132,connected,293,2025-09-10 07:38:09,Conectividade OK via bastion,,
algar-contact-prd02.tenant0008,10.51.124.133,connected,343,2025-09-10 09:37:09,Conectividade OK via bastion,,
mailing-hom-app01.tenant0008,10.51.124.135,connected,284,2025-09-10 11:47:09,Conectividade OK via bastion,,
mailing-prd-app01.tenant0008,10.51.124.136,connected,272,2025-09-10 17:02:09,Conectividade OK via bastion,,
memcached-hom01.tenant0008,10.51.124.137,connected,141,2025-09-10 14:19:09,Conectividade OK via bastion,,
memcached-prd01.tenant0008,10.51.124.138,connected,265,2025-09-10 08:25:09,Conectividade OK via bastion,,
tf-jenkins-crm-prd01,10.51.125.134,connected,148,2025-09-10 14:25:09,Conectividade OK via bastion,,
api-prd-jenkins01,10.51.125.74,connected,98,2025-09-10 17:45:09,Conectividade OK via bastion,,
tic-adm-bb-hom01,10.51.126.132,connected,45,2025-09-10 11:25:09,Conectividade OK via bastion,,
tic-adm-bb-prd01,10.51.126.133,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
tic-building-blocks-hom01,10.51.126.134,connected,278,2025-09-10 13:35:09,Conectividade OK via bastion,,
tic-building-blocks-hom02,10.51.126.135,connected,151,2025-09-10 13:54:09,Conectividade OK via bastion,,
tic-building-blocks-prd01,10.51.126.136,connected,396,2025-09-10 09:14:09,Conectividade OK via bastion,,
tic-building-blocks-prd02,10.51.126.137,connected,303,2025-09-10 14:37:09,Conectividade OK via bastion,,
crv-hom-guru01,10.51.126.194,connected,236,2025-09-10 13:08:09,Conectividade OK via bastion,,
elk-qualidade-prd01,10.51.126.3,failed,0,2025-09-10 07:10:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
elk-qualidade-prd02,10.51.126.4,connected,343,2025-09-10 14:48:09,Conectividade OK via bastion,,
blazon-adapter-prd01,10.51.127.130,connected,193,2025-09-10 10:32:09,Conectividade OK via bastion,,
blazon-adm-console-prd01,10.51.127.131,connected,252,2025-09-10 11:56:09,Conectividade OK via bastion,,
blazon-api-prd01,10.51.127.132,connected,354,2025-09-10 10:49:09,Conectividade OK via bastion,,
blazon-elastic-prd01,10.51.127.133,connected,169,2025-09-10 15:17:09,Conectividade OK via bastion,,
blazon-core-prd01,10.51.127.134,connected,295,2025-09-10 08:29:09,Conectividade OK via bastion,,
blazon-job-prd01,10.51.127.135,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
blazon-activemq-prd01,10.51.127.137,connected,97,2025-09-10 18:15:09,Conectividade OK via bastion,,
blazon-workspace-prd01,10.51.127.138,connected,376,2025-09-10 13:25:09,Conectividade OK via bastion,,
blazon-sql-prd01,10.51.127.139,connected,216,2025-09-10 12:34:09,Conectividade OK via bastion,,
blazon-workspace-prd02,10.51.127.142,failed,0,2025-09-09 21:21:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
blazon-adm-console-prd02,10.51.127.143,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
blazon-core-prd02,10.51.127.144,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
blazon-api-prd02,10.51.127.146,failed,0,2025-09-09 23:20:09,Timeout na conexão,Verificar latência e ACLs,timeout
blazon-sql-prd02,10.51.127.150,connected,59,2025-09-10 17:19:09,Conectividade OK via bastion,,
blazon-adapter-prd02,10.51.127.151,connected,340,2025-09-10 17:13:09,Conectividade OK via bastion,,
blazon-resetpwd-prd01,10.51.127.155,connected,44,2025-09-10 11:05:09,Conectividade OK via bastion,,
blazon-resetpwd-prd02,10.51.127.156,failed,0,2025-09-10 05:29:09,Chave rejeitada pelo servidor,Autorizar chave pública no servidor,key_rejected
acronis-isilon-stg01,10.51.127.199,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
iss-lgpd-hml01,10.51.127.58,connected,135,2025-09-10 12:01:09,Conectividade OK via bastion,,
elk-lgpd-hml01,10.51.127.59,failed,0,2025-09-10 10:20:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
portal-titular-lgpd-hml01,10.51.127.60,connected,136,2025-09-10 17:19:09,Conectividade OK via bastion,,
reposit-front-lgpd-hml01,10.51.127.61,connected,233,2025-09-10 18:53:09,Conectividade OK via bastion,,
reposit-quality-lgpd-hml01,10.51.127.62,failed,0,2025-09-10 04:50:09,Conexão recusada,Verificar e iniciar serviço SSH,connection_refused
med-ime-hml01,10.51.128.115,connected,344,2025-09-10 08:23:09,Conectividade OK via bastion,,
som-wf-prd01,10.51.128.195,failed,0,2025-09-09 20:46:09,Conexão recusada,Verificar e iniciar serviço SSH,connection_refused
som-wf-prd02,10.51.128.196,connected,149,2025-09-10 11:22:09,Conectividade OK via bastion,,
som-wf-prd03,10.51.128.197,connected,179,2025-09-10 12:21:09,Conectividade OK via bastion,,
VM_som-wf-hom01,10.51.128.227,failed,0,2025-09-10 11:43:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
som-wf-hml02,10.51.128.228,connected,283,2025-09-10 17:07:09,Conectividade OK via bastion,,
cadastro-app-prd01,10.51.128.98,connected,340,2025-09-10 15:19:09,Conectividade OK via bastion,,
cadastro-cloud-apps-prd01,10.51.128.99,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
cadastro-posi-hml01,10.51.129.226,connected,105,2025-09-10 12:21:09,Conectividade OK via bastion,,
blazon-work-hml01,10.51.129.82,connected,278,2025-09-10 16:07:09,Conectividade OK via bastion,,
blazon-core-hml01,10.51.129.83,failed,0,2025-09-09 23:03:09,Falha na autenticação,Configurar chave/credenciais SSH corretas,auth_failed
blazon-elastic-hml01,10.51.129.84,connected,393,2025-09-10 13:16:09,Conectividade OK via bastion,,
blazon-acess-hml01,10.51.129.86,failed,0,2025-09-10 00:50:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
blazon-res-hml01,10.51.129.87,not_tested,,,Servidor novo ainda não testado,Fazer primeiro teste SSH,
blazon-sql-hml01,10.51.129.88,connected,49,2025-09-10 09:28:09,Conectividade OK via bastion,,
wlsapp01,10.51.13.10,connected,208,2025-09-10 14:56:09,Conectividade OK via bastion,,
wlsapp02,10.51.13.11,failed,0,2025-09-10 03:40:09,Falha desconhecida,Executar diagnóstico manual,unknown
wlsservice01,10.51.13.12,connected,262,2025-09-10 18:26:09,Conectividade OK via bastion,,
wlsservice02,10.51.13.13,connected,222,2025-09-10 19:14:09,Conectividade OK via bastion,,
wlsservice03,10.51.13.25,connected,60,2025-09-10 16:44:09,Conectividade OK via bastion,,
wlsservice04,10.51.13.27,connected,275,2025-09-10 14:43:09,Conectividade OK via bastion,,
sps3-app-hml01-iot,10.51.130.130,connected,374,2025-09-10 08:44:09,Conectividade OK via bastion,,
sps3-app-dev02-iot,10.51.130.163,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
portal-odin-hml01,10.51.130.178,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
moni-odin-hml02,10.51.130.179,connected,338,2025-09-10 15:52:09,Conectividade OK via bastion,,
gaio-app-prd01,10.51.130.226,connected,271,2025-09-10 18:54:09,Conectividade OK via bastion,,
gaiohx01,10.51.130.235,pending,,,Aguardando credenciais,Provisionar e distribuir credenciais,
gaioapppx01,10.51.130.236,connected,98,2025-09-10 10:06:09,Conectividade OK via bastion,,
gaiodbpx01,10.51.130.237,connected,72,2025-09-10 07:57:09,Conectividade OK via bastion,,
gaiodbpx02,10.51.130.238,pending,,,Aguardando liberação de firewall,Abrir porta 22 no firewall,
masterhx01,10.51.131.165,failed,0,2025-09-09 20:21:09,Falha desconhecida,Executar diagnóstico manual,unknown
masterpx01,10.51.131.181,connected,136,2025-09-10 15:30:09,Conectividade OK via bastion,,
nodepx01,10.51.131.182,connected,182,2025-09-10 11:01:09,Conectividade OK via bastion,,
nodepx02,10.51.131.183,failed,0,2025-09-10 14:42:09,Rede inacessível,Corrigir rota/VPN/rede,network_unreachable
pvweb01,10.51.14.10,connected,56,2025-09-10 18:37:09,Conectividade OK via bastion,,
pix-app-prd01,10.51.17.20,connected,279,2025-09-10 08:09:09,Conectividade OK via bastion,,
pix-app-prd02,10.51.17.21,connected,225,2025-09-10 10:23:09,Conectividade OK via bastion,,
pix-app-prd03,10.51.17.22,connected,128,2025-09-10 16:47:09,Conectividade OK via bastion,,
nschprd02,10.51.2.10,connected,235,2025-09-10 07:51:09,Conectividade OK via bastion,,
nschprd-bin01,10.51.2.13,connected,166,2025-09-10 09:44:09,Conectividade OK via bastion,,
cloud-crm,10.51.2.14,connected,254,2025-09-10 10:51:09,Conectividade OK via bastion,,
cloud-receita,10.51.2.15,connected,178,2025-09-10 19:13:09,Conectividade OK via bastion,,
