hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
guardians-db-prd01,10.11.136.186,connected,133,2025-09-10 17:38:38,Conectividade OK via bastion,,
ns1.cloudalgartelecom.com.br,10.0.10.102,connected,161,2025-09-10 17:38:38,Conectividade OK via bastion,,
toolstelecom-cel-prd08,10.11.137.223,connected,177,2025-09-10 17:38:38,Conectividade OK via bastion,,
guardians-db-hom01,10.32.15.12,connected,114,2025-09-10 17:38:38,Conectividade OK via bastion,,
portal-ponderacoes-b2b-prd01,10.11.137.221,connected,188,2025-09-10 17:38:38,Conectividade OK via bastion,,
guardians-app-hom01,10.32.15.11,connected,139,2025-09-10 17:38:38,Conectividade OK via bastion,,
gifeprd01_NEW,10.11.128.234,connected,188,2025-09-10 17:38:38,Conectividade OK via bastion,,
guardians-adm-hom01,10.32.15.13,connected,131,2025-09-10 17:38:38,Conectividade OK via bastion,,
dbatools-app01,10.11.136.109,connected,179,2025-09-10 17:38:38,Conectividade OK via bastion,,
ptloghx01,10.11.148.204,connected,200,2025-09-10 17:38:38,Conectividade OK via bastion,,
ptlogpx01,10.11.148.205,connected,190,2025-09-10 17:38:38,Conectividade OK via bastion,,
cacti-prd-corp01,10.11.136.40,connected,170,2025-09-10 17:38:38,Conectividade OK via bastion,,
zabbxhx01,10.11.148.151,connected,211,2025-09-10 17:38:38,Conectividade OK via bastion,,
vm-cacti-capacidade3,10.11.0.100,connected,210,2025-09-10 17:38:38,Conectividade OK via bastion,,
srvphpdes01_NEW,10.11.135.109,connected,211,2025-09-10 17:38:38,Conectividade OK via bastion,,
xdsl2-des,10.32.14.70,connected,189,2025-09-10 17:38:38,Conectividade OK via bastion,,
jbosseap04hom_NEW,10.11.152.79,connected,246,2025-09-10 17:38:38,Conectividade OK via bastion,,
kenanfx-01,10.32.14.174,connected,207,2025-09-10 17:38:38,Conectividade OK via bastion,,
cdsprd01,10.11.135.175,connected,293,2025-09-10 17:38:38,Conectividade OK via bastion,,
pprox-prd01,10.0.10.104,connected,282,2025-09-10 17:38:38,Conectividade OK via bastion,,
algar-bsc-hom01,10.11.152.151,connected,312,2025-09-10 17:38:38,Conectividade OK via bastion,,
sgp01,10.32.10.52,connected,313,2025-09-10 17:38:38,Conectividade OK via bastion,,
ftp-internal01,10.11.136.238,connected,319,2025-09-10 17:38:38,Conectividade OK via bastion,,
sgp02,10.32.10.53,connected,316,2025-09-10 17:38:38,Conectividade OK via bastion,,
cac-hml03,10.11.136.14,connected,305,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarcatprodhmg02,10.51.10.143,connected,166,2025-09-10 17:38:38,Conectividade OK via bastion,,
ecomm03_NEW,10.50.17.29,connected,194,2025-09-10 17:38:38,Conectividade OK via bastion,,
jbossas01,10.32.15.121,connected,306,2025-09-10 17:38:38,Conectividade OK via bastion,,
algargedhmg-rabbit01,10.51.10.150,connected,186,2025-09-10 17:38:38,Conectividade OK via bastion,,
algargedtit_NEW,10.51.10.145,connected,199,2025-09-10 17:38:38,Conectividade OK via bastion,,
algargedhmg01,10.51.10.146,connected,203,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarcatprodtit,10.51.10.141,connected,221,2025-09-10 17:38:38,Conectividade OK via bastion,,
algargedhmg02,10.51.10.147,connected,211,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarcatprodprd01,10.51.10.173,connected,203,2025-09-10 17:38:38,Conectividade OK via bastion,,
app-host-resilient-prd01,10.32.10.77,connected,387,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarcatprodprd02,10.51.10.174,connected,202,2025-09-10 17:38:38,Conectividade OK via bastion,,
gedwebdavhmg01,10.51.10.139,connected,248,2025-09-10 17:38:38,Conectividade OK via bastion,,
algargedprd-service01,10.51.10.177,connected,208,2025-09-10 17:38:38,Conectividade OK via bastion,,
sunlight1,10.32.9.253,connected,293,2025-09-10 17:38:38,Conectividade OK via bastion,,
algargedhmg-rabbit02,10.51.10.151,connected,272,2025-09-10 17:38:38,Conectividade OK via bastion,,
gedwebdavhmg02,10.51.10.140,connected,301,2025-09-10 17:38:38,Conectividade OK via bastion,,
grv-prd-bd01,10.51.10.74,connected,185,2025-09-10 17:38:38,Conectividade OK via bastion,,
webhom02,10.51.10.41,connected,299,2025-09-10 17:38:38,Conectividade OK via bastion,,
portalctbc05,10.51.10.67,connected,255,2025-09-10 17:38:38,Conectividade OK via bastion,,
crm-prd-visao01,10.51.10.75,connected,213,2025-09-10 17:38:38,Conectividade OK via bastion,,
crm-prd-visao02,10.51.10.76,connected,212,2025-09-10 17:38:38,Conectividade OK via bastion,,
crm-prd-visao04,10.51.10.80,connected,199,2025-09-10 17:38:38,Conectividade OK via bastion,,
crm-prd-visao03,10.51.10.79,connected,207,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarbff-prd-app01,10.51.104.162,connected,190,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarcatprodhmg01,10.51.10.142,connected,388,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarbff-prd-app02,10.51.104.163,connected,185,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarbff-hom-app02,10.51.104.179,connected,165,2025-09-10 17:38:38,Conectividade OK via bastion,,
VM-SRVTEL-AV02,10.12.0.3,connected,571,2025-09-10 17:38:38,Conectividade OK via bastion,,
lxjbossprd01,10.51.10.70,connected,310,2025-09-10 17:38:38,Conectividade OK via bastion,,
portalctbc06,10.51.10.68,connected,346,2025-09-10 17:38:38,Conectividade OK via bastion,,
grv-prd-app01,10.51.10.61,connected,373,2025-09-10 17:38:38,Conectividade OK via bastion,,
follow-tech-prd01,10.51.12.40,connected,233,2025-09-10 17:38:38,Conectividade OK via bastion,,
frontend-sinfra-hml01,10.51.12.203,connected,248,2025-09-10 17:38:38,Conectividade OK via bastion,,
ctbcapp01,10.51.11.20,connected,282,2025-09-10 17:38:38,Conectividade OK via bastion,,
algarbff-prd-app03,10.51.104.164,connected,306,2025-09-10 17:38:38,Conectividade OK via bastion,,
tf-jenkins-crm-prd01,10.51.125.134,connected,172,2025-09-10 17:38:38,Conectividade OK via bastion,,
algar-contact-hom02,10.51.124.131,connected,246,2025-09-10 17:38:39,Conectividade OK via bastion,,
