hostname,ip_address,status,error,collected_at,os_family,distro_id,distro_pretty_name,distro_version_id,kernel,init_system,services_running_count,services_sample,pkg_manager,pkg_count,pkg_sample,python_installed,python_version,zabbix_agent_installed,zabbix_agent_version,qualys_agent_installed,qualys_agent_version
gedwebdavhmg02,10.51.10.140,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.41.1.el7.x86_64,systemd,31,atd.service;auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;logstash.service;lvm2-lvmetad.service;metricbeat.service;netbackup.service;ntpd.service;oddjobd.service;polkit.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,0,,yes,2.7.5,yes,5.0.0,yes,package qualys-cloud-agent is not installed
guardians-db-prd01,10.11.136.186,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-229.el7.x86_64,systemd,23,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;mysqld.service;polkit.service;postfix.service;qualys-cloud-agent.service;rhnsd.service;rpcbind.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vmware-tools.service,rpm,471,NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;audit;audit-libs;augeas-libs;authconfig;autofs;autogen-libopts;avahi-autoipd;avahi-libs;basesystem;bash;bind-libs;bind-libs-lite;bind-license;bind-utils;binutils;biosdevname;btrfs-progs;bzip2-libs;c-ares;ca-certificates,yes,2.7.5,no,,yes,7.2.0
pprox-prd01,10.0.10.104,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.36.2.el7.x86_64,systemd,28,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;httpd.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;oddjobd.service;pa-agent.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;zabbix-agent.service,rpm,486,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;ace;ace-kokyu;ace-xml;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;audit;audit-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bc;bind-export-libs;bind-libs;bind-libs-lite;bind-license;bind-utils,yes,2.7.5,yes,5.0.15,yes,7.2.0
guardians-db-hom01,10.32.15.12,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-514.26.2.el7.x86_64,systemd,26,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;mariadb.service;NetworkManager.service;ntpd.service;oddjobd.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service,rpm,453,GeoIP;MariaDB-client;MariaDB-common;MariaDB-server;MariaDB-shared;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;audit;audit-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bind-libs;bind-libs-lite;bind-license;bind-utils;binutils;biosdevname,yes,2.7.5,no,,yes,7.2.0
algarcatprodhmg02,10.51.10.143,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.36.2.el7.x86_64,systemd,29,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;metricbeat.service;netbackup.service;oddjobd.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;vxpbx_exchanged.service;zabbix-agent.service,rpm,481,GeoIP;NetworkManager-libnm;VRTSnbcfg;VRTSnbclt;VRTSnbjava;VRTSnbjre;VRTSnbpck;VRTSpbx;VRTSpddea;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;audit;audit-libs;augeas-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bc;bind-export-libs;bind-libs;bind-libs-lite;bind-license;bind-utils,yes,2.7.5,yes,5.0.0,yes,7.2.0
app-host-resilient-prd01,10.32.10.77,ok,,2025-09-11 07:40:20,linux,rhel,RHEL,7.9,3.10.0-1160.53.1.el7.x86_64,systemd,25,auditd.service;chronyd.service;crond.service;dbus.service;firewalld.service;getty@tty1.service;irqbalance.service;k3s.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;NetworkManager.service;polkit.service;postfix.service;qualys-cloud-agent.service;rhnsd.service;rhsmcertd.service;rsyslog.service;sshd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;tuned.service;vgauthd.service;vmtoolsd.service,rpm,458,GeoIP;NetworkManager;NetworkManager-config-server;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apphost;audit;audit-libs;audit-libs-python;authconfig;avahi-libs;basesystem;bash;bc;bind-export-libs;bind-libs;bind-libs-lite;bind-license;bind-utils;binutils;biosdevname;btrfs-progs;bzip2,yes,2.7.5,no,,yes,7.0.0
wikipx01,10.11.137.220,ok,,2025-09-11 07:40:19,linux,ubuntu,Ubuntu 22.04.5 LTS,22.04,5.15.0-153-generic,systemd,38,AMPctl.service;atd.service;auditd.service;certmonger.service;cron.service;dbus.service;fwupd.service;getty@tty1.service;irqbalance.service;konea.service;ModemManager.service;multipathd.service;networkd-dispatcher.service;nginx.service;ntp.service;oddjobd.service;open-vm-tools.service;osspd.service;packagekit.service;php7.4-fpm.service;polkit.service;qualys-cloud-agent.service;rsyslog.service;snapd.service;ssh.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-networkd.service;systemd-resolved.service;systemd-udevd.service;traps_pmd.service;udisks2.service;unattended-upgrades.service;upower.service;user@0.service;vgauth.service;zabbix-agent.service,dpkg,1595,3270-common;adduser;adwaita-icon-theme;alien;alsa-topology-conf;alsa-ucm-conf;amd64-microcode;ampagent;apparmor;apport;apport-symptoms;apt;apt-transport-https;apt-utils;at;at-spi2-core;auditd;augeas-lenses;autoconf;automake;autopoint;autotools-dev;base-files;base-passwd;bash;bash-completion;bc;bcache-tools;bind9-dnsutils;bind9-host,yes,3.10.12,yes,5.0.47,yes,package qualys-cloud-agent is not installed
ns1.cloudalgartelecom.com.br,10.0.10.102,ok,,2025-09-11 07:40:19,linux,centos,CentOS Linux 7 (Core),7,3.10.0-1160.36.2.el7.x86_64,systemd,27,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;named-chroot.service;oddjobd.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service;vgauthd.service;vmtoolsd.service;zabbix-agent.service,rpm,495,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;ace;ace-kokyu;ace-xml;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;apr;apr-util;audit;audit-libs;audit-libs-python;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bc;bind;bind-chroot;bind-export-libs;bind-libs,yes,2.7.5,yes,5.0.15,yes,7.0.0
capacidade-prd01,10.11.0.101,ok,,2025-09-11 07:40:19,linux,ubuntu,Ubuntu 22.04.5 LTS,22.04,5.15.0-153-generic,systemd,39,AMPctl.service;auditd.service;certmonger.service;chrony.service;containerd.service;cron.service;dbus.service;docker.service;fwupd.service;getty@tty1.service;irqbalance.service;konea.service;ModemManager.service;multipathd.service;networkd-dispatcher.service;NetworkManager.service;oddjobd.service;open-vm-tools.service;polkit.service;qualys-cloud-agent.service;rsyslog.service;snapd.service;snmpd.service;ssh.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-networkd.service;systemd-resolved.service;systemd-udevd.service;traps_pmd.service;udisks2.service;unattended-upgrades.service;upower.service;user@0.service;uuidd.service;vgauth.service;wpa_supplicant.service;zabbix-agent2.service,dpkg,1471,accountsservice;adduser;adwaita-icon-theme;amd64-microcode;ampagent;apparmor;apport;apport-symptoms;apt;apt-transport-https;apt-utils;at;at-spi2-core;audispd-plugins;auditd;augeas-lenses;base-files;base-passwd;bash;bash-completion;bc;bcache-tools;bind9-dnsutils;bind9-host;bind9-libs:amd64;bind9-utils;binutils;binutils-common:amd64;binutils-x86-64-linux-gnu;bolt,yes,3.10.12,yes,5.0.30,yes,
guardians-adm-hom01,10.32.15.13,ok,,2025-09-11 07:40:20,linux,centos,CentOS Linux 7 (Core),7,3.10.0-514.26.2.el7.x86_64,systemd,26,auditd.service;crond.service;dbus.service;getty@tty1.service;gssproxy.service;irqbalance.service;konea.service;kschedulerconsole.service;lvm2-lvmetad.service;NetworkManager.service;nginx.service;ntpd.service;oddjobd.service;polkit.service;postfix.service;qualys-cloud-agent.service;rpc-gssd.service;rpcbind.service;rsyslog.service;sshd.service;sssd.service;systemd-journald.service;systemd-logind.service;systemd-udevd.service;traps_pmd.service;tuned.service,rpm,457,GeoIP;NetworkManager;NetworkManager-libnm;NetworkManager-team;NetworkManager-tui;NetworkManager-wifi;acl;aic94xx-firmware;alsa-firmware;alsa-lib;alsa-tools-firmware;ampagent;audit;audit-libs;authconfig;autofs;autogen-libopts;avahi-libs;basesystem;bash;bind-libs;bind-libs-lite;bind-license;bind-utils;binutils;biosdevname;btrfs-progs;bzip2-libs;c-ares;ca-certificates,yes,2.7.5,no,,yes,7.2.0
