hostname,ip_address,status,error,collected_at,os_family,distro_id,distro_pretty_name,distro_version_id,kernel,init_system,services_running_count,services_all,pkg_manager,pkg_count,pkg_all,python_installed,python_version,zabbix_agent_installed,zabbix_agent_version,qualys_agent_installed,qualys_agent_version,java_installed,java_version,java_home,php_installed,php_version,apache_installed,apache_version,apache_flavor,apache_service,tomcat_installed,tomcat_version,jboss_installed,jboss_product,jboss_version,jboss_home,jboss_services,jboss_pids,websphere_installed,websphere_version,websphere_home,unmanaged_count,unmanaged_processes,containers_count,containers_running,listening_count,listening_sockets,cron_count,cron_entries,tech_accounts_count,tech_accounts
guardians-db-prd01,10.11.136.186,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pprox-prd01,10.0.10.104,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ns1.cloudalgartelecom.com.br,10.0.10.102,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guardians-db-hom01,10.32.15.12,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacti-prd-corp01,10.11.136.40,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbatools-app01,10.11.136.109,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gifeprd01_NEW,10.11.128.234,failed,"ssh_error:/etc/profile.d/lesssecure.sh: line 4: LESSSECURE: readonly variable
bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. li",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portal-ponderacoes-b2b-prd01,10.11.137.221,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srvphpdes01_NEW,10.11.135.109,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algar-bsc-hom01,10.11.152.151,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbosseap04hom_NEW,10.11.152.79,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdsl2-des,10.32.14.70,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cac-hml03,10.11.136.14,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toolstelecom-cel-prd08,10.11.137.223,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guardians-adm-hom01,10.32.15.13,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app-host-resilient-prd01,10.32.10.77,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenanfx-01,10.32.14.174,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guardians-app-hom01,10.32.15.11,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM-SRVTEL-AV02,10.12.0.3,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptlogpx01,10.11.148.205,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vm-cacti-capacidade3,10.11.0.100,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gedwebdavhmg02,10.51.10.140,failed,"ssh_error:TERM environment variable not set.
bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash n",2025-09-11 21:50:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecomm03_NEW,10.50.17.29,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wikipx01,10.11.137.220,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ftp-internal01,10.11.136.238,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algarcatprodhmg02,10.51.10.143,failed,"ssh_error:TERM environment variable not set.
bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash n",2025-09-11 21:50:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptloghx01,10.11.148.204,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gedwebdavhmg01,10.51.10.139,failed,"ssh_error:TERM environment variable not set.
bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash n",2025-09-11 21:50:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacidade-prd01,10.11.0.101,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algarcatprodtit,10.51.10.141,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbossas01,10.32.15.121,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algargedhmg-rabbit01,10.51.10.150,failed,"ssh_error:TERM environment variable not set.
bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash n",2025-09-11 21:50:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgp02,10.32.10.53,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgp01,10.32.10.52,failed,"ssh_error:bash: line 154: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algargedtit_NEW,10.51.10.145,failed,"ssh_error:bash: line 156: JBOSS_HOME: unbound variable
awk: cmd. line:1: $2==1{print $1\""|\""$3\""|\""$4\""|\""$5}
awk: cmd. line:1:               ^ backslash not last character on line
awk: cmd.",2025-09-11 21:50:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
